,Cluster,TopWords
0,0,"['премиум', 'пакет', 'подключить', 'привилегия', 'условие', 'клиент', 'менеджер', '2990', 'обслуживание', 'спорт']"
1,1,"['сертификат', '1000', 'акция', 'озон', 'покупка', 'ссылка', 'оформить', 'условие', 'газпромбанк', 'прислать']"
2,2,"['кэшбэк', 'акция', '35', 'условие', 'покупка', 'важный', 'самый', 'выполнить', 'начислить', 'месяц']"
3,3,"['подписка', 'газпром', 'привилегия', 'отключить', 'списать', 'деньга', 'подключить', '2990', 'премиум', 'бонус']"
4,4,"['заявка', 'дебетовый', 'оформить', 'сайт', 'оформление', 'кредитный', 'получение', 'газпромбанк', 'день', 'подать']"
5,5,"['офис', 'очередь', 'сотрудник', 'талон', 'час', 'клиент', 'обслуживание', 'человек', 'работать', 'время']"
6,6,"['услуга', 'отключить', 'подключить', 'списать', '2990', 'платный', 'мой', 'списание', 'деньга', 'согласие']"
7,7,"['рассказать', 'очень', 'представитель', 'спасибо', 'помочь', 'быстро', 'сотрудник', 'объяснить', 'подробно', 'вопрос']"
8,8,"['средство', 'денежный', 'счет', 'мой', 'газпромбанк', 'день', 'списать', 'деньга', 'обращение', 'возврат']"
9,9,"['деньга', 'перевести', 'счет', 'перевод', 'свой', 'операция', 'мой', 'это', 'газпромбанк', 'день']"
10,10,"['премиальный', 'менеджер', 'клиент', 'обслуживание', 'являться', 'персональный', 'премиум', 'пакет', 'это', 'программа']"
11,11,"['кешбэк', 'акция', '180', '100', 'кредитный', 'условие', '35', 'важный', 'день', 'начислить']"
12,12,"['перевод', 'комиссия', 'сбп', 'счет', 'сбой', 'май', 'деньга', 'операция', 'свой', 'газпромбанк']"
13,13,"['номер', 'телефон', 'приходить', 'смс', 'приложение', 'код', 'мочь', 'офис', 'зайти', 'данные']"
14,14,"['добрый', 'день', 'сутки', 'весь', 'время', 'уважаемый', 'читатель', 'сегодня', 'хотеть', 'вечер']"
15,15,"['оператор', 'чат', 'вопрос', 'ответ', 'бот', 'отвечать', 'занять', 'поддержка', 'приложение', 'писать']"
16,16,"['встреча', 'представитель', 'назначить', 'рассказать', 'время', 'договориться', 'ксения', 'доставка', 'спасибо', 'удобный']"
17,17,"['unionpay', '5000', 'рубль', 'юниона', 'выпуск', 'комиссия', 'пить', 'граница', 'пэй', 'месяц']"
18,18,"['счет', 'накопительный', 'процент', 'открыть', 'ставка', 'открытие', 'месяц', 'день', 'деньга', 'газпромбанк']"
19,19,"['счет', 'закрытие', 'заявление', 'закрыть', 'деньга', 'день', 'написать', 'офис', '30', 'отделение']"
20,20,"['акция', 'условие', 'выполнить', 'кэшбек', 'бонус', '35', 'участие', 'начислить', 'обращение', 'важный']"
21,21,"['банкомат', 'деньга', 'газпромбанк', 'внести', 'наличные', 'наличный', 'средство', 'снятие', 'операция', 'счет']"
22,22,"['условие', 'месяц', 'pay', 'union', '5000', 'руб', 'рубль', 'выпуск', 'выполнить', '000']"
23,23,"['обращение', 'день', 'мой', 'документ', 'ответ', 'сказать', 'это', 'офис', 'сотрудник', 'который']"
24,24,"['кешбек', 'акция', 'условие', '35', 'покупка', 'начислить', 'выполнить', 'чат', 'месяц', 'начисление']"
25,25,"['доставка', 'заказать', 'курьер', 'представитель', 'дебетовый', 'время', 'день', 'позвонить', 'приехать', 'доставить']"
26,26,"['газпромбанк', 'клиент', 'отзыв', 'это', 'приложение', 'гпб', 'хотеть', 'поддержка', 'ужасный', 'отвратительный']"
27,27,"['год', 'обслуживание', 'кредитный', 'бесплатный', 'пользоваться', 'закрыть', 'являться', 'комиссия', '2024', 'задолженность']"
28,28,"['минута', 'ожидание', '30', 'оператор', 'линия', 'дозвониться', 'время', 'чат', 'горячий', 'час']"
29,29,"['вклад', 'открыть', 'процент', 'деньга', 'открытие', 'счет', 'офис', 'ставка', 'газпромбанк', 'срок']"
30,30,"['кредитный', 'период', 'задолженность', 'льготный', 'процент', 'платеж', 'который', 'дебетовый', 'день', 'сумма']"
31,31,"['балл', 'акция', 'начислить', 'покупка', 'условие', '1000', '5000', 'месяц', 'бонусный', '35']"
32,32,"['привилегия', 'подключить', 'отключить', 'списать', 'месяц', 'услуга', 'деньга', '299', 'сервис', 'руб']"
33,33,"['отделение', 'адрес', 'сотрудник', 'обратиться', 'получить', 'газпромбанк', 'час', 'ул', 'это', 'очередь']"
34,34,"['друг', 'ссылка', 'условие', 'выполнить', 'акция', 'вознаграждение', 'привести', 'пригласить', 'получить', 'оформить']"
